"Home.Team","Away.Team","Result","order"
"Netherlands","USA","Home Win",49
"Argentina","Australia","Home Win",50
"England","Senegal","Home Win",51
"France","Poland","Home Win",52
"Japan","Croatia","Away Win",53
"Brazil","Korea Republic","Home Win",54
"Morocco","Spain","Home Win",55
"Portugal","Switzerland",NA,56
